City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,mao,39.8885,4.2658,15.31,82,20,11.83,ES,1681337138
347,amloh,30.6084,76.2319,23.95,22,0,2.65,IN,1681337138
348,cherskiy,68.75,161.3,-20.88,95,100,2.34,RU,1681337138
349,kerema,-7.9631,145.7785,25.56,90,98,4.42,PG,1681337139
350,nabire,-3.3667,135.4833,24.42,83,55,1.29,ID,1681337139
351,asau,46.4333,26.4,8.51,92,75,2.06,RO,1681337139
352,gornji milanovac,44.0333,20.45,2.05,71,38,0.81,RS,1681337139
353,canoinhas,-26.1772,-50.39,18.41,66,11,0.54,BR,1681337014
354,awjilah,29.1081,21.2869,16.68,35,0,2.56,LY,1681337139
355,hailar,49.2,119.7,-3.49,58,0,1.88,CN,1681337139
356,azul,-36.777,-59.8585,14.3,44,87,6.54,AR,1681337140
357,puquio,-14.7,-74.1333,13.48,72,97,4.5,PE,1681337140
358,igarka,67.4667,86.5833,-27.15,99,100,3.31,RU,1681337140
359,imeni karla libknekhta,51.6232,35.4775,11.72,63,100,6.88,RU,1681337140
360,lucapa,-8.4192,20.7447,18.3,98,98,0.74,AO,1681337140
361,poum,-20.2333,164.0167,26.15,77,4,3.27,NC,1681337140
362,hay river,60.8156,-115.7999,0.98,74,20,3.6,CA,1681337140
363,babstovo,48.1167,132.4833,1.65,65,100,6.06,RU,1681337141
364,katima mulilo,-17.5,24.2667,18.85,44,5,2.13,NA,1681337141
365,rumphi,-11.0186,33.8575,18.08,96,100,1.48,MW,1681337141
